"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"+5V-0";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"+5V-1";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"C1";"560pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805B561K500CT";"1759219";"";"";"";"";
"C2";"560pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805B561K500CT";"1759219";"";"";"";"";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"MULTICOMP";"MC0805F105Z250CT";"1759429";"";"";"";"";
"C4";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C5";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C6";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C8";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C9";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C10";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C11";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C12";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C13";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C14";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C15";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C16";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C17";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C18";"4.7uF, 6.3V, 20%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C19";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C20";"0.1uF, 16V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C21";"0.01uF, 6V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B103K160CT";"1759003";"";"";"";"";
"C23";"1uF, 16V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X105K160CT";"1759407";"";"";"";"";
"C24";"10nF, 50V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0402F103Z500CT";"1759001";"";"";"";"";
"C25";"4.7uF, 6.3V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MURATA";"GRM155R60J475ME47D";"2426952";"";"";"";"";
"C26";"0.1uF, 16V";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C27";"4.7uF, 6.3V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603X475K6R3CT";"2320811";"";"";"";"";
"C28";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C29";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C30";"0.1uF, 16V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B104K160CT";"1759016";"";"";"";"";
"C31";"0.01uF, 6V, 10%";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"MULTICOMP";"MC0603B103K160CT";"1759003";"";"";"";"";
"E0:M:C1";"1000pF, 2kV";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"";"";"";"";
"E0:M:C2";".022uF";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MC0805B223K500CT";"1759252";"";"";"";"";
"E0:M:C3";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C4";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C5";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:C6";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E0:M:R1";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R2";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R3";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R4";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E0:M:R5";"10, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP03W8F100JT5E";"1576250";"";"";"";"";
"E0:M:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"E0:X0";"NE8FAV";"NE8FAV";"NE8FAV";"";"NEUTRIK";"NE8FAV";"1202031";"";"";"";"";
"E1:M:C1";"1000pF, 2kV";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"";"";"";"";
"E1:M:C2";".022uF";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MC0805B223K500CT";"1759252";"";"";"";"";
"E1:M:C3";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C4";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C5";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:C6";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"E1:M:R1";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R2";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R3";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R4";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"E1:M:R5";"10, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP03W8F100JT5E";"1576250";"";"";"";"";
"E1:M:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"E1:X0";"NE8FAV";"NE8FAV";"NE8FAV";"";"NEUTRIK";"NE8FAV";"1202031";"";"";"";"";
"F0:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F0:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F1:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R6";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R7";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R8";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"F2:R9";"49.9, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X49R9FTL";"2073090";"";"";"";"";
"FAN0";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";
"FAN1";"22-05-7038-03";"22-05-7038-03";"7395-03";"CONNECTOR";"MOLEX";"22-05-7038";"9731610";"unknown";"";"";"";
"GND-0";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"GND-1";"WIREPAD1,6/0,9";"WIREPAD1,6/0,9";"1,6/0,9";"Wire PAD connect wire on PCB";"";"";"unknown";"";"";"";"";
"JC0";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JC1";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JC2";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JP0";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JP1";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"JP2";"";"PINHD-1X6";"1X06";"PIN HEADER";"MULTICOMP";"MC34751";"1593430";"";"";"";"";
"L1";"2.0A/0.05 DCR";"L-EUL4532C";"L4532M";"INDUCTOR, European symbol";"MURATA";"LQH43PN2R2M26L";"2219282";"";"";"";"";
"L2";"2.0A/0.05 DCR";"L-EUL4532C";"L4532M";"INDUCTOR, European symbol";"MURATA";"LQH43PN2R2M26L";"2219282";"";"";"";"";
"L3";"2.0A/0.05 DCR";"L-EUL4532C";"L4532M";"INDUCTOR, European symbol";"MURATA";"LQH43PN2R2M26L";"2219282";"";"";"";"";
"L4";"2.0A/0.05 DCR";"L-EUL4532C";"L4532M";"INDUCTOR, European symbol";"MURATA";"LQH43PN2R2M26L";"2219282";"";"";"";"";
"L5";"2.0A/0.05 DCR";"L-EUL4532C";"L4532M";"INDUCTOR, European symbol";"MURATA";"LQH43PN2R2M26L";"2219282";"";"";"";"";
"LED0";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";
"LED1";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";
"LED2";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";
"LED3";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";
"LED4";"blue";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"MULTICOMP";"OVS-0603";"1716770";"";"";"";"";
"M1:C1";"1000pF, 2kV";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"MULTICOMP";"MC1206B102K202CT";"1855909";"";"";"";"";
"M1:C2";".022uF";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"MULTICOMP";"MC0805B223K500CT";"1759252";"";"";"";"";
"M1:C3";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"M1:C4";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"M1:C5";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"M1:C6";"15pF, 50V";"C-EUC0504";"C0504";"CAPACITOR, European symbol";"MULTICOMP";"MC0402N150J500CT";"1758945";"";"";"";"";
"M1:R1";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"M1:R2";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"M1:R3";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"M1:R4";"75";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402175R";"1358012";"";"";"";"";
"M1:R5";"10, 1/8W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP03W8F100JT5E";"1576250";"";"";"";"";
"M1:T1";"";"WE-LAN-10/100-BASE-T,749010012";"749010012";"LAN-Transformer WE-LAN 10/100 Base T";"WURTH ELEKTRONIK";"749010012";"1636345";"unknown";"10/100/Base-T";"Wuerth Elektronik";"";
"O1";"25MHz";"ADSM1-25.0000MHZ-LC-T";"ADSM";"";"ABRACON";"ASDM1-25.000MHZ-LC-T";"2467877";"";"";"";"25MHz";
"O2";"25MHz";"ADSM1-25.0000MHZ-LC-T";"ADSM";"";"ABRACON";"ASDM1-25.000MHZ-LC-T";"2467877";"";"";"";"25MHz";
"OK1";"HCPL0601";"HCPL0601";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AVAGO TECHNOLOGIES";"HCPL-0601-000E";"9995102";"88H7776";"";"";"";
"OK2";"HCPL0601";"HCPL0601";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"AVAGO TECHNOLOGIES";"HCPL-0601-000E";"9995102";"88H7776";"";"";"";
"R0";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";
"R1";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";
"R2";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";
"R3";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";
"R4";"1.5K";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1501FTL";"2072645";"";"";"";"";
"R5";"100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W04021100R";"1358015";"";"";"";"";
"R6";"100";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W04021100R";"1358015";"";"";"";"";
"R7";"120";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W04021120R";"1358018";"";"";"";"";
"R8";"120, 1/4W";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP05W4F1200T5E";"1576447";"";"";"";"";
"R9";"120, 1/4W";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCHP05W4F1200T5E";"1576447";"";"";"";"";
"R10";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R11";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R12";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R13";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R14";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R15";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R16";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R17";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R18";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R19";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R20";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R21";"10K, 1/10W, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MCMR04X1002FTL";"2072517";"";"";"";"";
"R22";"12K4, 1%";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W0402112K4";"1803145";"";"";"";"";
"R24";"3K3";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W040213K3";"1358056";"";"";"";"";
"R25";"330";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W04021330R";"1358028";"";"";"";"";
"R26";"4K7";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W040214K7";"1358060";"";"";"";"";
"R27";"4K7";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"MULTICOMP";"MC00625W040214K7";"1358060";"";"";"";"";
"SJ1";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"unknown";"";"";"";"";
"SJ2";"O, DNI";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"unknown";"";"";"";"";
"SJ3";"O, DNI";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"unknown";"";"";"";"";
"SJ4";"O, DNI";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"unknown";"";"";"";"";
"SJ5";"O, DNI";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"unknown";"";"";"";"";
"U1";"LAN9303-ABZJ";"LAN9303-ABZJ";"QFN50P800X800X100-57N";"Ethernet Switch,56VQFN";"MICROCHIP";"LAN9303-ABZJ";"2292583";"66W1986";"56VQFN";"MICROCHIP";"";
"U2";"LAN8710AI-EZK";"LAN8710AI-EZK";"QFN50P500X500X100-33N";"IC, MII/RMII 10/100 ENET TRX, 32VQFN";"MICROCHIP";"LAN8710AI-EZK";"2292576";"66W1983";"32VQFN";"Microchip";"";
"U3";"LP2992IM5-3.3";"LP2992IM5-3.3";"SOT95P284X122-5N";"Low-Dropout Regulator";"TEXAS INSTRUMENTS";"LP2992IM5-3.3/NOPB";"1469141";"41K7301";"SOT23-5";"National Semiconductor";"";
"X0";"NC3FAAV2";"NC3FAAV2";"NC3FAV2";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3FAAV2";"1310038";"";"";"";"";
"X1";"NC3FAAV2";"NC3FAAV2";"NC3FAV2";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3FAAV2";"1310038";"";"";"";"";
"X2";"NC3FAAV2";"NC3FAAV2";"NC3FAV2";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3FAAV2";"1310038";"";"";"";"";
"X3";"NC3FAAV2";"NC3FAAV2";"NC3FAV2";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC3FAAV2";"1310038";"";"";"";"";
"X4";"NC5FAV-SW";"NC5FAV-SW";"NC5FAV-SW";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC5FAV-SW";"1310093";"";"";"";"";
"X5";"NC5FAV-SW";"NC5FAV-SW";"NC5FAV-SW";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC5FAV-SW";"1310093";"";"";"";"";
"X6";"NC5MAV-SW";"NC5MAV-SW";"NC5MAV-SW";"Neutrik Audio Connector XLR SERIES";"NEUTRIK";"NC5MAV-SW";"1310098";"";"";"";"";
"X7";"5504F1-09S-02A-03";"5504F1-09S-02A-03";"5504F1-09S-02A";"";"MULTICOMP";"5504F1-09S-02A-03";"1848372";"";"";"";"";
"X8";"87832-26";"87832-26";"87832-26";"Milli-Grid Header";"MOLEX";"87832-2620";"2313712";"unknown";"";"";"";
"X10";"85505-5113";"85505-5113";"MOLEX_85505-5113";"CONNECTOR, RJ45, JACK, 8P8C, 1PORT, CAT5E";"MOLEX";"85505-5113";"1560163";"96M8715 ";"RJ45, JACK, 8P8C";"Molex";"";
